Summary
-------

Measuring unpaused time only

elapsed  2645611 ms (44m 5s)
 dfhack   170732 ms (  6.45% of elapsed)


DFHack details
--------------

         control-panel/fix/empty-wheelbarrows      458 ms (  5.68% of lua timers,   0.02% of elapsed)
             control-panel/fix/general-strike      390 ms (  4.84% of lua timers,   0.01% of elapsed)
              control-panel/fix/stuck-worship      377 ms (  4.68% of lua timers,   0.01% of elapsed)
                control-panel/fix/stuck-squad      372 ms (  4.62% of lua timers,   0.01% of elapsed)
          control-panel/fix/stuck-instruments      344 ms (  4.27% of lua timers,   0.01% of elapsed)
                 control-panel/fix/dead-units       95 ms (  1.18% of lua timers,   0.00% of elapsed)
                control-panel/fix/dry-buckets       63 ms (  0.78% of lua timers,   0.00% of elapsed)

                                    framework      269 ms (  3.34% of lua timers,   0.01% of elapsed)
                                all subtimers     7788 ms ( 96.66% of lua timers,   0.29% of elapsed)


Overlay details
---------------

                       suspendmanager.overlay    27458 ms ( 20.28% of overlay,   1.04% of elapsed)
                             gui/notify.panel    11042 ms (  8.15% of overlay,   0.42% of elapsed)
                 gui/civ-alert.big_red_button     9869 ms (  7.29% of overlay,   0.37% of elapsed)
                          gui/sitemap.toolbar     9425 ms (  6.96% of overlay,   0.36% of elapsed)
                                 hotkeys.menu     5980 ms (  4.42% of overlay,   0.23% of elapsed)
                         buildingplan.planner     4483 ms (  3.31% of overlay,   0.17% of elapsed)
                              confirm.overlay     3217 ms (  2.38% of overlay,   0.12% of elapsed)
                                 dig.warmdamp     3099 ms (  2.29% of overlay,   0.12% of elapsed)
                              notes.map_notes     2866 ms (  2.12% of overlay,   0.11% of elapsed)
                          sort.elevate_barony     1799 ms (  1.33% of overlay,   0.07% of elapsed)
                       sort.location_selector     1044 ms (  0.77% of overlay,   0.04% of elapsed)
                            caravan.movegoods      967 ms (  0.71% of overlay,   0.04% of elapsed)
                                    sort.info      687 ms (  0.51% of overlay,   0.03% of elapsed)
                                   sort.world      624 ms (  0.46% of overlay,   0.02% of elapsed)
                                    sort.slab      482 ms (  0.36% of overlay,   0.02% of elapsed)
                              sort.candidates      439 ms (  0.32% of overlay,   0.02% of elapsed)
                                  sort.places      437 ms (  0.32% of overlay,   0.02% of elapsed)
                        gui/design.dimensions      299 ms (  0.22% of overlay,   0.01% of elapsed)
                       buildingplan.inspector      252 ms (  0.19% of overlay,   0.01% of elapsed)
                        suspendmanager.status      206 ms (  0.15% of overlay,   0.01% of elapsed)
                        suspendmanager.toggle      202 ms (  0.15% of overlay,   0.01% of elapsed)
                         spectate.followpanel      188 ms (  0.14% of overlay,   0.01% of elapsed)
                           stockpiles.overlay       79 ms (  0.06% of overlay,   0.00% of elapsed)
                          zone.animal_actions       78 ms (  0.06% of overlay,   0.00% of elapsed)
                        gui/design.rightclick       63 ms (  0.05% of overlay,   0.00% of elapsed)
