Summary
-------

Measuring unpaused time only

elapsed 12013055 ms (200m 13s)
 dfhack   200305 ms (  1.67% of elapsed)


DFHack details
--------------

                framework    15576 ms ( 99.90% of update,   0.13% of elapsed)
            all subtimers       16 ms (  0.10% of update,   0.00% of elapsed)


Lua timer details
-----------------

         control-panel/fix/noexert-exhaustion     1914 ms ( 27.72% of lua timers,   0.02% of elapsed)
                  control-panel/fix/ownership      782 ms ( 11.33% of lua timers,   0.01% of elapsed)
             control-panel/fix/general-strike      747 ms ( 10.82% of lua timers,   0.01% of elapsed)
          control-panel/fix/stuck-instruments      688 ms (  9.96% of lua timers,   0.01% of elapsed)
                 control-panel/fix/engravings      687 ms (  9.95% of lua timers,   0.01% of elapsed)
              control-panel/fix/stuck-worship      638 ms (  9.24% of lua timers,   0.01% of elapsed)
         control-panel/fix/empty-wheelbarrows      577 ms (  8.36% of lua timers,   0.00% of elapsed)
                control-panel/fix/stuck-squad      460 ms (  6.66% of lua timers,   0.00% of elapsed)
                control-panel/fix/dry-buckets       95 ms (  1.38% of lua timers,   0.00% of elapsed)
                 control-panel/fix/dead-units       79 ms (  1.14% of lua timers,   0.00% of elapsed)

                                    framework      238 ms (  3.45% of lua timers,   0.00% of elapsed)
                                all subtimers     6667 ms ( 96.55% of lua timers,   0.06% of elapsed)


Overlay details
---------------

                       suspendmanager.overlay    21422 ms ( 12.96% of overlay,   0.18% of elapsed)
                             gui/notify.panel    13380 ms (  8.10% of overlay,   0.11% of elapsed)
                          gui/sitemap.toolbar    11992 ms (  7.26% of overlay,   0.10% of elapsed)
                                 hotkeys.menu    11339 ms (  6.86% of overlay,   0.09% of elapsed)
                 gui/civ-alert.big_red_button     5154 ms (  3.12% of overlay,   0.04% of elapsed)
                              notes.map_notes     3970 ms (  2.40% of overlay,   0.03% of elapsed)
                                  sort.places     2912 ms (  1.76% of overlay,   0.02% of elapsed)
                                 dig.warmdamp     1934 ms (  1.17% of overlay,   0.02% of elapsed)
                              confirm.overlay     1393 ms (  0.84% of overlay,   0.01% of elapsed)
                                    sort.info     1211 ms (  0.73% of overlay,   0.01% of elapsed)
                         buildingplan.planner     1185 ms (  0.72% of overlay,   0.01% of elapsed)
                       sort.location_selector     1112 ms (  0.67% of overlay,   0.01% of elapsed)
                                    sort.slab      925 ms (  0.56% of overlay,   0.01% of elapsed)
                              sort.candidates      920 ms (  0.56% of overlay,   0.01% of elapsed)
                          sort.elevate_barony      800 ms (  0.48% of overlay,   0.01% of elapsed)
                                   sort.world      678 ms (  0.41% of overlay,   0.01% of elapsed)
                       buildingplan.inspector      425 ms (  0.26% of overlay,   0.00% of elapsed)
                            caravan.movegoods      420 ms (  0.25% of overlay,   0.00% of elapsed)
                        suspendmanager.status      346 ms (  0.21% of overlay,   0.00% of elapsed)
                        suspendmanager.toggle      328 ms (  0.20% of overlay,   0.00% of elapsed)
                        gui/design.dimensions      312 ms (  0.19% of overlay,   0.00% of elapsed)
                           stockpiles.overlay      249 ms (  0.15% of overlay,   0.00% of elapsed)
                           prioritize.enroute      203 ms (  0.12% of overlay,   0.00% of elapsed)
                     orders.skillrestrictions      127 ms (  0.08% of overlay,   0.00% of elapsed)
                         spectate.followpanel       94 ms (  0.06% of overlay,   0.00% of elapsed)
                  buildingplan.mechanism_free       79 ms (  0.05% of overlay,   0.00% of elapsed)
                          zone.animal_actions       78 ms (  0.05% of overlay,   0.00% of elapsed)
                             zone.pasturepond       77 ms (  0.05% of overlay,   0.00% of elapsed)
                        gui/design.rightclick       64 ms (  0.04% of overlay,   0.00% of elapsed)
                          dig.warmdamptoolbar       47 ms (  0.03% of overlay,   0.00% of elapsed)
                      preserve-rooms.reserved       47 ms (  0.03% of overlay,   0.00% of elapsed)
                          zone.retirelocation       16 ms (  0.01% of overlay,   0.00% of elapsed)

                                    framework    82028 ms ( 49.63% of overlay,   0.68% of elapsed)
                                all subtimers    83239 ms ( 50.37% of overlay,   0.69% of elapsed)


ZScreen details
---------------

                                     launcher       15 ms (100.00% of zscreen,   0.00% of elapsed)

                                    framework        0 ms (  0.00% of zscreen,   0.00% of elapsed)
                                all subtimers       15 ms (100.00% of zscreen,   0.00% of elapsed)
