Summary
-------

Measuring unpaused time only

elapsed   842208 ms (14m 2s)
 dfhack    41704 ms (  4.95% of elapsed)


DFHack details
--------------

                               dig.asciicarve       15 ms (  0.04% of overlay,   0.00% of elapsed)

                                    framework    15623 ms ( 43.10% of overlay,   1.86% of elapsed)
                                all subtimers    20627 ms ( 56.90% of overlay,   2.45% of elapsed)


ZScreen details
---------------

                                      unknown      108 ms ( 77.14% of zscreen,   0.01% of elapsed)
                                     launcher       32 ms ( 22.86% of zscreen,   0.00% of elapsed)

                                    framework        0 ms (  0.00% of zscreen,   0.00% of elapsed)
                                all subtimers      140 ms (100.00% of zscreen,   0.02% of elapsed)
